Date,BTC-USD,^GSPC
2018-01-02,14982.099609375,2695.81005859375
2018-01-03,15201.0,2713.06005859375
2018-01-04,15599.2001953125,2723.989990234375
2018-01-05,17429.5,2743.14990234375
2018-01-08,15170.099609375,2747.7099609375
2018-01-09,14595.400390625,2751.2900390625
2018-01-10,14973.2998046875,2748.22998046875
2018-01-11,13405.7998046875,2767.56005859375
2018-01-12,13980.599609375,2786.239990234375
2018-01-16,11490.5,2776.419921875
2018-01-17,11188.599609375,2802.56005859375
2018-01-18,11474.900390625,2798.030029296875
2018-01-19,11607.400390625,2810.300048828125
2018-01-22,10931.400390625,2832.969970703125
2018-01-23,10868.400390625,2839.1298828125
2018-01-24,11359.400390625,2837.5400390625
2018-01-25,11259.400390625,2839.25
2018-01-26,11171.400390625,2872.8701171875
2018-01-29,11296.400390625,2853.530029296875
2018-01-30,10106.2998046875,2822.429931640625
2018-01-31,10221.099609375,2823.81005859375
2018-02-01,9170.5400390625,2821.97998046875
2018-02-02,8830.75,2762.1298828125
2018-02-05,6955.27001953125,2648.93994140625
2018-02-06,7754.0,2695.139892578125
2018-02-07,7621.2998046875,2681.659912109375
2018-02-08,8265.58984375,2581.0
2018-02-09,8736.98046875,2619.550048828125
2018-02-12,8926.5703125,2656.0
2018-02-13,8598.3095703125,2662.93994140625
2018-02-14,9494.6298828125,2698.6298828125
2018-02-15,10166.400390625,2731.199951171875
2018-02-16,10233.900390625,2732.219970703125
2018-02-20,11403.7001953125,2716.260009765625
2018-02-21,10690.400390625,2701.330078125
2018-02-22,10005.0,2703.9599609375
2018-02-23,10301.099609375,2747.300048828125
2018-02-26,10366.7001953125,2779.60009765625
2018-02-27,10725.599609375,2744.280029296875
2018-02-28,10397.900390625,2713.830078125
2018-03-01,10951.0,2677.669921875
2018-03-02,11086.400390625,2691.25
2018-03-05,11573.2998046875,2720.93994140625
2018-03-06,10779.900390625,2728.1201171875
2018-03-07,9965.5703125,2726.800048828125
2018-03-08,9395.009765625,2738.969970703125
2018-03-09,9337.5498046875,2786.570068359375
2018-03-12,9205.1201171875,2783.02001953125
2018-03-13,9194.849609375,2765.31005859375
2018-03-14,8269.8095703125,2749.47998046875
2018-03-15,8300.8603515625,2747.330078125
2018-03-16,8338.349609375,2752.010009765625
2018-03-19,8630.650390625,2712.919921875
2018-03-20,8913.4697265625,2716.93994140625
2018-03-21,8929.2802734375,2711.929931640625
2018-03-22,8728.4697265625,2643.68994140625
2018-03-23,8879.6201171875,2588.260009765625
2018-03-26,8209.400390625,2658.550048828125
2018-03-27,7833.0400390625,2612.6201171875
2018-03-28,7954.47998046875,2605.0
2018-03-29,7165.7001953125,2640.8701171875
2018-04-02,7083.7998046875,2581.8798828125
2018-04-03,7456.10986328125,2614.449951171875
2018-04-04,6853.83984375,2644.68994140625
2018-04-05,6811.47021484375,2662.840087890625
2018-04-06,6636.31982421875,2604.469970703125
2018-04-09,6770.72998046875,2613.159912109375
2018-04-10,6834.759765625,2656.8701171875
2018-04-11,6968.31982421875,2642.18994140625
2018-04-12,7889.25,2663.989990234375
2018-04-13,7895.9599609375,2656.300048828125
2018-04-16,8058.669921875,2677.840087890625
2018-04-17,7902.08984375,2706.389892578125
2018-04-18,8163.419921875,2708.639892578125
2018-04-19,8294.3095703125,2693.1298828125
2018-04-20,8845.830078125,2670.139892578125
2018-04-23,8930.8798828125,2670.2900390625
2018-04-24,9697.5,2634.56005859375
2018-04-25,8845.740234375,2639.39990234375
2018-04-26,9281.509765625,2666.93994140625
2018-04-27,8987.0498046875,2669.909912109375
2018-04-30,9240.5498046875,2648.050048828125
2018-05-01,9119.009765625,2654.800048828125
2018-05-02,9235.919921875,2635.669921875
2018-05-03,9743.8603515625,2629.72998046875
2018-05-04,9700.759765625,2663.419921875
2018-05-07,9373.009765625,2672.6298828125
2018-05-08,9234.8203125,2671.919921875
2018-05-09,9325.1796875,2697.7900390625
2018-05-10,9043.9404296875,2723.070068359375
2018-05-11,8441.490234375,2727.719970703125
2018-05-14,8716.7900390625,2730.1298828125
2018-05-15,8510.3798828125,2711.449951171875
2018-05-16,8368.830078125,2722.4599609375
2018-05-17,8094.31982421875,2720.1298828125
2018-05-18,8250.9697265625,2712.969970703125
2018-05-21,8418.990234375,2733.010009765625
2018-05-22,8041.77978515625,2724.43994140625
2018-05-23,7557.81982421875,2733.2900390625
2018-05-24,7587.33984375,2727.760009765625
2018-05-25,7480.14013671875,2721.330078125
